id,text_kz,text_ru,category,urgency,region,status,reply_text,duplicate
1,"Сәлеметсіз бе! Алматы қаласы, Абай көшесі, 50 үйдің ауласындағы жолдар өте нашар жағдайда. Шұңқырлар көбейіп кетті, көлікпен жүру мүмкін емес. Жөндеу жұмыстарын жүргізуіңізді сұраймыз.","Здравствуйте! В городе Алматы, во дворе дома №50 по улице Абая, дороги в ужасном состоянии. Появилось много ям, на машине проехать невозможно. Просим провести ремонтные работы.",дороги,средняя,Алматы,новая,Ваше обращение принято. Ремонт дворовой территории по указанному адресу будет рассмотрен при формировании плана работ на следующий год.,False
2,Қайырлы күн. Астанадағы №24 мектептің асханасында тамақ сапасы төмендеп кетті. Балалар тамақтың дәмсіз екеніне шағымдануда. Тексеріс жүргізуіңізді өтінемін.,"Добрый день. В столовой школы №24 в Астане ухудшилось качество питания. Дети жалуются, что еда невкусная. Прошу провести проверку.",образование,высокая,Астана,в процессе,Спасибо за сигнал. По вашему обращению будет проведена внеплановая проверка организации питания в школе №24. О результатах сообщим дополнительно.,False
3,"Шымкент қаласы, Тәуке хан даңғылындағы қоқыс жәшіктері үнемі толып тұрады. Уақытылы тазаланбайды, айналаға жағымсыз иіс тарап жатыр. Мәселені шешуге көмектесіңіз.","В городе Шымкент по проспекту Тауке хана мусорные контейнеры постоянно переполнены. Их не вывозят вовремя, распространяется неприятный запах. Помогите решить проблему.",ЖКХ,средняя,Шымкент,решена,"Проблема решена. График вывоза мусора по указанному адресу скорректирован, территория очищена.",False
4,Атырау облысындағы ауаның ластануына байланысты шағымданғым келеді. Зауыттардан шыққан түтін денсаулыққа зиян келтіруде. Экологиялық жағдайды бақылауды күшейту қажет.,Хочу пожаловаться на загрязнение воздуха в Атырауской области. Дым с заводов наносит вред здоровью. Необходимо усилить контроль за экологической обстановкой.,экология,высокая,Атырауская область,в процессе,"Ваше обращение передано в Департамент экологии. Будут проведены замеры качества воздуха, по результатам которых примут соответствующие меры.",False
5,"Қарағанды қаласындағы №5 емханаға жазылу мүмкін емес. Телефондары жауап бермейді, ал egov арқылы бос орын жоқ. Дәрігерге қалай қаралуға болады?","Невозможно записаться на прием в поликлинику №5 в Караганде. Телефоны не отвечают, а через egov нет свободных талонов. Как попасть к врачу?",медицина,высокая,Карагандинская область,новая,Приносим извинения за неудобства. Мы проверим работу регистратуры поликлиники №5 и доступность записи на прием.,False
6,Павлодардағы №20 автобус кестеге сай жүрмейді. Таңертең жұмысқа үнемі кешігеміз. Жүргізушілердің жұмысын реттеуіңізді сұраймыз.,В Павлодаре автобус №20 ходит не по расписанию. Утром постоянно опаздываем на работу. Просим отрегулировать работу маршрута.,общественный транспорт,средняя,Павлодарская область,решена,С компанией-перевозчиком проведена работа. Движение автобусов по маршруту №20 взято на особый контроль.,False
7,"Түркістан облысында интернет сапасы өте төмен. Жиі үзіледі, жылдамдық баяу. Провайдерлердің жұмысын жақсартуға ықпал етуіңізді сұраймын.","В Туркестанской области очень низкое качество интернета. Часто происходят обрывы, скорость низкая. Прошу повлиять на улучшение работы провайдеров.",интернет,низкая,Туркестанская область,в процессе,Ваше обращение направлено в уполномоченный орган для проверки качества предоставляемых услуг связи в регионе.,False
8,"Мен көпбалалы анамын. Тиісті әлеуметтік жәрдемақыны алу үшін құжаттарды тапсырдым, бірақ жауап ұзақ уақыттан бері жоқ. Процесті жылдамдатуға болама?","Я многодетная мать. Подала документы на получение социального пособия, но ответа нет уже долгое время. Можно ли ускорить процесс?",соцподдержка,высокая,Жамбылская область,новая,"Пожалуйста, укажите ваш ИИН для проверки статуса заявления. Мы постараемся ускорить рассмотрение вашего дела.",False
9,"Ақтөбе қаласындағы учаскелік инспекторға телефон соқсам, ешқашан көтермейді. Аулада тәртіп бұзушылықтар жиілеп кетті. Полиция қызметкерлерінің халықпен байланысын жақсарту қажет.",Не могу дозвониться до участкового инспектора в Актобе. Нарушения порядка во дворе участились. Нужно улучшить связь полиции с населением.,полиция,средняя,Актюбинская область,новая,Спасибо за информацию. Будет проведена служебная проверка по факту работы указанного участкового инспектора.,False
10,Мемлекеттік мекемеде анықтама алу үшін заңсыз ақша талап етті. Бұл сыбайлас жемқорлық емес пе? Тиісті шара қолдануыңызды сұраймын.,В госучреждении потребовали незаконное вознаграждение за выдачу справки. Разве это не коррупция? Прошу принять соответствующие меры.,коррупция,высокая,Астана,в процессе,Ваше сообщение передано в Антикоррупционную службу для проведения проверки. Просим вас предоставить более подробную информацию для разбирательства.,False
11,"Алматы қаласы, Медеу ауданындағы жолдардың жағдайы сын көтермейді. Көлік жүргізу қауіпті болып барады.",Состояние дорог в Медеуском районе города Алматы не выдерживает критики. Водить автомобиль становится опасно.,дороги,средняя,Алматы,новая,Ремонт дорог в Медеуском районе будет проведен в плановом порядке. Информация о сроках будет размещена дополнительно.,True
12,"№102 автобус (Астана) үнемі толы болады, әсіресе таңертеңгі және кешкі уақытта. Қосымша автобустар қосу мүмкіндігін қарастыруыңызды сұраймын.","Автобус №102 (Астана) постоянно переполнен, особенно в утренние и вечерние часы. Прошу рассмотреть возможность добавления дополнительных автобусов на маршрут.",общественный транспорт,средняя,Астана,в процессе,Мы изучим пассажиропоток на маршруте №102 и рассмотрим вопрос об увеличении количества подвижного состава.,False
13,Үйіміздің жертөлесін су басып жатыр. КСК ешқандай шара қолданбайды. Кімге шағымдануға болады?,Подвал нашего дома затапливает водой. КСК не принимает никаких мер. Кому можно пожаловаться?,ЖКХ,высокая,Костанайская область,новая,По вашему вопросу необходимо обратиться в жилищную инспекцию вашего города для проведения проверки деятельности КСК.,False
14,Маңғыстау облысындағы Каспий теңізінің жағалауы қоқысқа толы. Демалушылар өздерінен кейін тазаламайды. Экологиялық патрульдердің жұмысын күшейту керек.,Побережье Каспийского моря в Мангистауской области завалено мусором. Отдыхающие не убирают за собой. Нужно усилить работу экологических патрулей.,экология,средняя,Мангистауская область,решена,Проведены работы по очистке побережья. Организованы регулярные рейды для контроля за соблюдением чистоты.,False
15,Мектептегі жөндеу жұмыстарына ата-аналардан ақша жинау заңды ма? Бұл мәселені назарға алуыңызды сұраймын.,Законно ли собирать деньги с родителей на ремонт в школе? Прошу взять этот вопрос на контроль.,образование,низкая,Северо-Казахстанская область,в процессе,Сбор денег с родителей на нужды школы является незаконным. По данному факту будет проведена проверка.,False
16,Қызылорда қаласындағы емханада ұзын-сонар кезек. Бір дәрігерге кіру үшін бірнеше сағат күтуге тура келеді.,"В поликлинике города Кызылорда огромные очереди. Чтобы попасть к одному врачу, приходится ждать несколько часов.",медицина,средняя,Кызылординская область,новая,Мы понимаем вашу обеспокоенность. Руководству поликлиники будет дано поручение оптимизировать процесс приема пациентов.,True
17,"Көшедегі шамдар түнде жанбайды, жүруге қорқынышты. Осы мәселені шешіп беруіңізді өтінемін.","Ночью не горят уличные фонари, ходить страшно. Прошу решить данную проблему.",ЖКХ,средняя,Восточно-Казахстанская область,решена,Работы по восстановлению уличного освещения проведены. Спасибо за ваше обращение.,False
18,Полиция қызметкерлері жол ережесін бұзғандарға көз жұма қарайды. Бұл жол-көлік оқиғаларының көбеюіне әкеледі.,Сотрудники полиции закрывают глаза на нарушения ПДД. Это ведет к увеличению количества аварий.,полиция,низкая,Шымкент,в процессе,Ваше замечание принято к сведению. Будет усилен контроль за работой патрульной полиции.,False
19,Мүгедектігі бар балама арналған жәрдемақы мөлшері өте аз. Осы мәселені қайта қарау мүмкіндігі бар ма?,Размер пособия для моего ребенка с инвалидностью очень мал. Есть ли возможность пересмотреть этот вопрос?,соцподдержка,средняя,Западно-Казахстанская область,новая,Размеры государственных пособий устанавливаются законодательством. Ваше предложение будет учтено при рассмотрении изменений в будущем.,False
20,Астанадағы жаңа құрылыс алаңының жанындағы жолдарды ауыр техникалар бүлдіріп жатыр. Құрылыс аяқталған соң жолды кім қалпына келтіреді?,Дороги возле новой стройки в Астане портят тяжелой техникой. Кто восстановит дорогу после завершения строительства?,дороги,низкая,Астана,в процессе,Застройщик обязан восстановить дорожное полотно после окончания строительных работ. Данный вопрос находится на контроле акимата.,False
21,Теміртау қаласындағы металлургиялық комбинаттың түтіні демалуға мұрша бермейді. Әсіресе түнде қатты шығады. Ауа сапасын тексеретін датчиктер орнатуды сұраймын.,Дым от металлургического комбината в городе Темиртау не дает дышать. Особенно сильные выбросы по ночам. Прошу установить датчики для проверки качества воздуха.,экология,высокая,Карагандинская область,в процессе,Ваше обращение передано в Департамент экологии. Рассматривается вопрос установки дополнительных постов мониторинга атмосферного воздуха.,False
22,"Мен I топ мүгедегімін. Маған тиесілі дәрі-дәрмекті уақытында ала алмай жүрмін, емханада үнемі жоқ дейді.","Я инвалид I группы. Не могу вовремя получить положенные мне лекарства, в поликлинике постоянно говорят, что их нет в наличии.",соцподдержка,высокая,Восточно-Казахстанская область,новая,"Мы разберемся в ситуации с обеспечением лекарственными средствами в вашей поликлинике. Пожалуйста, укажите номер поликлиники.",False
23,"Көшеміздегі иттер топтасып алып, балаларға шабуылдайды. Қаңғыбас иттерді аулау қызметіне хабарластым, бірақ олар келмеді.","На нашей улице собаки сбиваются в стаи и нападают на детей. Я обращался в службу отлова бродячих собак, но они не приехали.",ЖКХ,высокая,Алматинская область,в процессе,Заявка на отлов безнадзорных животных по вашему адресу повторно передана в подрядную организацию. Выполнение взято на контроль.,False
24,"Полиция қызметкерлері себепсіз тоқтатып, көліктің ішін тексергісі келеді. Бұл қаншалықты заңды?",Сотрудники полиции останавливают без причины и хотят досмотреть салон автомобиля. Насколько это законно?,полиция,низкая,Астана,новая,Досмотр транспортного средства должен проводиться при наличии веских оснований и с составлением протокола. Вы можете обжаловать действия сотрудников.,False
25,Ауылдық мектепте информатика пәнінің мұғалімі жоқ. Балалар маңызды сабақтан қалып жатыр.,В сельской школе нет учителя информатики. Дети пропускают важный предмет.,образование,средняя,Жамбылская область,в процессе,Районному отделу образования поручено в срочном порядке решить вопрос с нехваткой педагогических кадров в указанной школе.,False
26,Шымкенттегі 'Север' автобекетінің маңындағы жолдар өте нашар. Автобустар шұңқырларды айналып өте алмайды.,Дороги возле автовокзала 'Север' в Шымкенте в ужасном состоянии. Автобусы не могут объезжать ямы.,дороги,средняя,Шымкент,новая,Ремонт подъездных путей к автовокзалу будет рассмотрен в рамках текущего дорожно-ремонтного сезона.,True
27,Балабақшаға кезекке тұру үшін жергілікті әкімдіктегі танысыма ақша беруге тура келді. Бұл мәселені қалай шешуге болады?,"Мне пришлось дать денег знакомому в местном акимате, чтобы устроить ребенка в детский сад вне очереди. Как решить эту проблему?",коррупция,высокая,Кызылординская область,новая,Просим вас обратиться в Антикоррупционную службу с официальным заявлением для проведения проверки по данному факту.,False
28,"Үйдегі интернеттің жылдамдығы келісім-шартта көрсетілгеннен әлдеқайда төмен. Провайдерге шағымдансам, ештеңе өзгермейді.","Скорость домашнего интернета намного ниже, чем указано в договоре. Жалобы провайдеру ничего не меняют.",интернет,низкая,Астана,в процессе,Рекомендуем зафиксировать скорость с помощью сертифицированных сервисов и направить официальную претензию провайдеру для перерасчета.,False
29,Қоғамдық көліктерде кондиционерлерді қоспайды. Жаздың ыстығында жол жүру өте қиын.,В общественном транспорте не включают кондиционеры. В летнюю жару ездить очень тяжело.,общественный транспорт,средняя,Алматы,решена,"С автопарками проведена работа о необходимости обеспечения комфортных условий для пассажиров, включая работу систем кондиционирования.",False
30,"Дәрігердің қабылдауына жазылсам да, өз уақытымда кіре алмаймын. Үнемі кезек күтіп отыруға тура келеді.","Даже если я записываюсь на прием к врачу, не могу зайти в свое время. Постоянно приходится сидеть в живой очереди.",медицина,низкая,Актюбинская область,новая,Руководству поликлиники будет указано на необходимость соблюдения времени приема пациентов по предварительной записи.,True
31,"Кіреберісімізде жарық бір айдан бері жанбайды. КСК-ға бірнеше рет айттық, нәтиже жоқ.","В нашем подъезде уже месяц не горит свет. Несколько раз говорили в КСК, безрезультатно.",ЖКХ,средняя,Павлодарская область,решена,Направлено предписание в управляющую компанию. Освещение в подъезде восстановлено.,False
32,Жаңа салынған үйдің сапасы өте нашар. Қабырғаларында жарықтар пайда болды. Құрылыс сапасын кім тексереді?,Качество нового дома очень плохое. На стенах появились трещины. Кто проверяет качество строительства?,ЖКХ,высокая,Астана,в процессе,Вам необходимо обратиться в Управление государственного архитектурно-строительного контроля (ГАСК) для проведения экспертизы.,False
33,"Ауладағы спорт алаңының жабдықтарын белгісіз біреулер сындырып кетті. Полицияға арыз жазсақ, істі таппай жауып тастады.","Неизвестные сломали оборудование на спортивной площадке во дворе. Написали заявление в полицию, но дело закрыли, никого не найдя.",полиция,низкая,Карагандинская область,решена,Решение о прекращении дела будет пересмотрено прокуратурой. Участковому инспектору поручено провести дополнительную работу.,False
34,Мектепке баратын жолда жаяу жүргіншілер жолағы жоқ. Балалардың қауіпсіздігіне алаңдаймыз.,На дороге к школе нет пешеходного перехода. Мы беспокоимся за безопасность детей.,дороги,высокая,Туркестанская область,новая,Комиссия по безопасности дорожного движения рассмотрит вопрос обустройства пешеходного перехода по указанному адресу.,False
35,Ауруханаға жату үшін анализдерді өз ақшамызға тапсыруға мәжбүрлейді. Бұл ТМККК аясында тегін болуы керек емес пе?,Для госпитализации заставляют сдавать анализы за свой счет. Разве это не должно быть бесплатно в рамках ГОБМП?,медицина,средняя,Западно-Казахстанская область,в процессе,"Данное требование является неправомерным. Пожалуйста, сообщите нам название больницы для проведения проверки.",False
36,Жаңадан салынған көпірдің жанындағы ағаштарды кесіп тастады. Бұл заңды ма?,Возле нового моста вырубили деревья. Законно ли это?,экология,низкая,Улытауская область,решена,Вырубка деревьев была произведена на основании официального разрешения в связи со строительными работами. Предусмотрена компенсационная посадка.,False
37,"Жұмыспен қамту орталығына тіркелгеніме бірнеше ай болды, бірақ ешқандай жұмыс ұсынбады.","Я уже несколько месяцев стою на учете в центре занятости, но мне так и не предложили никакой работы.",соцподдержка,средняя,Акмолинская область,новая,"Мы проверим работу вашего инспектора. Пожалуйста, подойдите в центр занятости для актуализации вашего резюме и подбора вакансий.",False
38,"Университетте сабақтар жиі өткізілмейді, оқытушылар келмей қалады. Білім сапасы алаңдатады.","В университете часто отменяют занятия, преподаватели не приходят. Качество образования вызывает беспокойство.",образование,низкая,Алматы,новая,Ваше обращение будет направлено в Министерство науки и высшего образования для сведения и принятия мер.,False
39,Ауылдағы мобильді интернет мүлдем жоқ. '250+' бағдарламасы біздің ауылға қашан жетеді?,В нашем селе совсем нет мобильного интернета. Когда программа '250+' дойдет до нашего села?,интернет,средняя,Костанайская область,в процессе,Ваш населенный пункт включен в перечень для подключения к интернету. Сроки реализации зависят от технических возможностей операторов.,False
40,Автобус жүргізушісі аялдамаға тоқтамай өтіп кетті. Мен жұмысқа кешіктім.,"Водитель автобуса проехал мимо остановки, не остановившись. Я опоздал на работу.",общественный транспорт,низкая,Астана,решена,"С водителем проведена беседа, применено дисциплинарное взыскание. Перевозчику указано на недопустимость подобных нарушений.",True
41,Жер учаскесін рәсімдеу үшін құжаттарды бірнеше айдан бері қарайды. Процесті қасақана созып жатқан сияқты.,"Документы на оформление земельного участка рассматривают уже несколько месяцев. Кажется, что процесс затягивают намеренно.",коррупция,средняя,Мангистауская область,в процессе,Укажите номер вашего заявления. Мы проверим статус рассмотрения и причины задержки.,False
42,Тұрғын үй кезегіне тұрғаныма 10 жыл болды. Кезек мүлдем жылжымайды. Қандай да бір ақпарат алу мүмкін бе?,Стою в очереди на жилье уже 10 лет. Очередь совсем не двигается. Можно ли получить какую-то информацию?,соцподдержка,средняя,Атырауская область,новая,Вы можете проверить свою позицию в очереди на портале kezekte.kz. Продвижение очереди зависит от темпов строительства нового жилья.,False
43,Көшедегі ашық жатқан люктер қауіп төндіреді. Әсіресе балалар үшін уайымдаймыз.,Открытые люки на улице представляют опасность. Особенно беспокоимся за детей.,ЖКХ,высокая,Шымкент,решена,Аварийная бригада выехала на место. Открытые люки будут закрыты в ближайшее время.,False
44,"Полицияға үйдің тоналғаны туралы арыз жаздық. Тергеуші ешқандай әрекет жасамайды, хабарласпайды.","Мы написали заявление в полицию о квартирной краже. Следователь не предпринимает никаких действий, не выходит на связь.",полиция,высокая,Алматы,в процессе,Ваша жалоба на бездействие следователя передана в управление собственной безопасности для проведения проверки.,False
45,Баламның мектебіндегі жөндеу жұмыстары оқу жылының ортасында басталды. Бұл оқу процесіне кедергі келтіреді.,Ремонт в школе моего ребенка начали посреди учебного года. Это мешает учебному процессу.,образование,низкая,Жетысуская область,решена,Ремонтные работы проводятся в соответствии с графиком. Приняты меры для минимизации неудобств для учебного процесса.,False
46,Риддер қаласының жолдарында шұңқырлар өте көп. Көліктің астын соғып алудан шаршадық.,На дорогах города Риддер очень много ям. Устали бить подвеску автомобиля.,дороги,средняя,Восточно-Казахстанская область,новая,Ямочный ремонт на улицах города будет проведен при наступлении благоприятных погодных условий.,True
47,"Өзенге белгісіз бір кәсіпорын сарқынды суларды ағызып жатыр. Судың түсі өзгеріп, жағымсыз иіс шықты.","Какое-то предприятие сливает сточные воды в реку. Цвет воды изменился, появился неприятный запах.",экология,высокая,Павлодарская область,в процессе,На место выехали инспекторы-экологи для взятия проб воды и установления источника загрязнения. Будут приняты строгие меры.,False
48,Egov.kz порталы жиі істемей қалады. Мемлекеттік қызметтерді алу қиындап кетті.,Портал Egov.kz часто не работает. Стало сложно получать государственные услуги.,интернет,низкая,Астана,в процессе,На портале могут проводиться технические работы для улучшения сервиса. Приносим извинения за временные неудобства.,False
49,Автобус аялдамасында күтуге арналған орындықтар жоқ. Жаңбырда және ыстықта тұруға тура келеді.,"На автобусной остановке нет скамеек для ожидания. Приходится стоять и в дождь, и в жару.",общественный транспорт,низкая,Костанайская область,решена,Вопрос обустройства остановочных павильонов будет рассмотрен. По указанному адресу скамейки будут установлены в ближайшее время.,False
